TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.843906	0.025393	0.000000
CCGT	943.196339	23.579908	25.000000	1.050320	1.050330	1.050330	0.000000	0.307092	1.000000	0.363548	0.363548	0.048263	193.040150
CCGT_AMMONIA	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.590000	0.048263	0.000000
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.865396	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.853432	0.036934	0.000000
PV	179.017962	4.431374	25.000000	0.170300	0.170310	0.170310	0.000000	0.032164	1.000000	0.234825	1.000000	0.048263	354.488366
WIND_ONSHORE	208.219097	3.120950	30.000000	0.127800	0.127810	0.127810	0.000000	0.010975	1.000000	0.106775	1.000000	0.041639	79.606455
WIND_OFFSHORE	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.041639	0.000000
HYDRO_RIVER	57.827632	0.578276	40.000000	0.028900	0.028910	0.028910	0.000000	0.009105	1.000000	0.391617	1.000000	0.033427	36.508127
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.914000	0.041639	0.000000
OCGT	1245.572225	18.683915	25.000000	1.059060	1.059070	1.059070	0.000000	0.289952	1.000000	0.340423	0.340423	0.048263	194.646475
GENSET_DIESEL	180.808159	2.712123	25.000000	0.470120	0.470120	0.470130	0.000000	0.021158	1.000000	0.055961	0.064521	0.048263	242.840495
HYDRO_DAM	1563.626879	15.636267	40.000000	0.708700	0.708710	0.708710	0.000000	0.287794	1.000000	0.504931	1.000000	0.033427	894.973166
ST_BIOMASS	260.137331	6.034059	25.000000	0.151500	0.151510	0.151510	0.000000	0.041483	1.000000	0.340445	0.340445	0.048263	25.049148
ST_SNG	0.991924	0.014879	25.000000	0.001000	0.001010	0.001010	0.000000	0.000277	1.000000	0.340446	0.340445	0.048263	1.034562
IND_COGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.844900	0.048263	0.000000
IND_COGEN_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.844900	0.048263	0.000000
IND_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.844900	0.048263	0.000000
IND_BOILER_GAS	68.399849	1.370381	17.000000	0.967867	0.967877	0.967877	0.000000	0.552170	1.000000	0.944300	0.944300	0.067080	11.924241
IND_BOILER_WOOD	86.434471	1.728629	17.000000	0.625330	0.625340	0.625340	0.000000	0.337978	1.000000	0.894600	0.894600	0.067080	18.053561
IND_BOILER_OIL	0.103579	0.002228	17.000000	0.001563	0.001573	0.001573	0.000000	0.000898	1.000000	0.944300	0.944300	0.067080	0.019385
IND_BOILER_COAL	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.894600	0.067080	0.000000
IND_BOILER_WASTE	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.894600	0.067080	0.000000
IND_DIRECT_ELEC	0.000000	0.000000	15.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.944300	0.074944	0.000000
IND_ENG_DIESEL	69.913028	1.048696	25.000000	0.181781	0.181781	0.181791	0.000000	0.098818	1.000000	0.899795	0.900000	0.048263	93.899049
IND_BURNER_LPG	1.255644	0.025157	17.000000	0.017758	0.017768	0.017768	0.000000	0.010136	1.000000	0.944300	0.944300	0.067080	0.218898
DHN_HP_ELEC	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.944300	0.048263	0.000000
DHN_COGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.844900	0.048263	0.000000
DHN_COGEN_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.844900	0.048263	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.844900	0.048263	0.000000
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.745500	0.048263	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	15.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.844900	0.074944	0.000000
DHN_BOILER_GAS	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.944300	0.067080	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.894600	0.067080	0.000000
DHN_BOILER_OIL	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.944300	0.067080	0.000000
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.844900	0.041639	0.000000
DHN_SOLAR	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.041639	0.000000
DEC_HP_ELEC	0.000000	0.000000	18.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.063806	0.000000
DEC_THHP_GAS	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000000
DEC_COGEN_GAS	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000000
